id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,chunk_calls,wasted_tokens,tokens,held_fraction,divergences,correct,analytic_speedup
doc-change-decade,doc_summary,baseline,0,1.0495,38.59,1010.18,1,0,0,0,77,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.8164,1685.98,86.01,3,2,1,0,76,0.9474,1,pass,5.4286
doc-change-decade,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.5446,240.09,303.5,1,0,0,0,76,0.9474,1,pass,
fact-third-country-overtakes,fact_answer,baseline,0,1.1294,38.99,1089.62,1,0,0,0,86,,,pass,1.0
fact-third-country-overtakes,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,4.204,3442.93,629.43,10,4,6,0,109,0.7798,3,pass,2.5349
fact-third-country-overtakes,fact_answer,"redraft:entropy_floor:tau=3.0,floor=1.0",0,1.3804,236.2,1129.35,1,0,0,0,109,0.7798,3,pass,
code-rename-var,code_review,baseline,0,0.4944,37.63,456.08,1,0,0,0,35,,,pass,1.0
code-rename-var,code_review,"entropy_floor:tau=3.0,floor=1.0",0,5.066,3537.23,1396.45,10,3,7,0,107,0.4299,4,pass,1.3718
code-rename-var,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",0,2.1042,239.15,1850.4,1,0,0,0,107,0.4299,4,pass,
code-add-typehints,code_review,baseline,0,0.2886,37.12,250.74,1,0,0,0,19,,,pass,1.0
code-add-typehints,code_review,"entropy_floor:tau=3.0,floor=1.0",0,0.3765,363.11,0.0,1,1,0,0,18,1.0,0,pass,9.0
code-add-typehints,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.1913,190.29,0.01,1,0,0,0,18,1.0,0,pass,
doc-table-budget-increase,doc_summary,baseline,0,0.307,38.49,267.77,1,0,0,0,20,,,pass,1.0
doc-table-budget-increase,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.7894,1532.26,190.53,5,3,2,0,41,0.7561,2,pass,1.8636
doc-table-budget-increase,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.729,201.17,526.77,1,0,0,0,41,0.7561,2,pass,
doc-status-flip-blocked,doc_summary,baseline,0,0.2695,41.98,226.84,1,0,0,0,17,,,pass,1.0
doc-status-flip-blocked,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.3397,1110.64,166.81,5,3,2,0,16,0.5,2,pass,0.8421
doc-status-flip-blocked,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.5816,216.49,363.94,1,0,0,0,16,0.5,2,pass,
doc-section-deletion-caveat,doc_summary,baseline,0,0.2218,35.87,185.32,1,0,0,0,14,,,pass,1.0
doc-section-deletion-caveat,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.5368,511.21,0.0,2,1,1,0,13,0.9231,1,pass,2.1667
doc-section-deletion-caveat,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.3089,206.05,0.01,1,0,0,0,13,0.9231,1,pass,
doc-typo-fix,doc_summary,baseline,0,1.1719,38.39,1132.85,1,0,0,0,86,,,pass,1.0
doc-typo-fix,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,2.0425,1909.2,89.32,3,2,1,0,76,0.9474,1,pass,5.8462
doc-typo-fix,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.5618,236.24,324.33,1,0,0,0,76,0.9474,1,pass,
doc-append-sentence,doc_summary,baseline,0,1.3369,36.45,1299.65,1,0,0,0,100,,,pass,1.0
doc-append-sentence,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,4.7434,2431.29,2184.71,10,2,8,0,104,0.4135,5,pass,1.3506
doc-append-sentence,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,2.2007,236.28,1949.11,1,0,0,0,99,0.4343,5,pass,
doc-reword-middle,doc_summary,baseline,0,1.2385,39.19,1198.67,1,0,0,0,93,,,pass,1.0
doc-reword-middle,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.9785,1848.01,87.33,3,2,1,0,76,0.9474,1,pass,5.4286
doc-reword-middle,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.5646,231.0,332.03,1,0,0,0,76,0.9474,1,pass,
doc-fix-punctuation,doc_summary,baseline,0,0.8038,37.68,765.43,1,0,0,0,58,,,pass,1.0
doc-fix-punctuation,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.8186,803.55,0.0,1,1,0,0,57,1.0,0,pass,14.25
doc-fix-punctuation,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.2235,221.87,0.02,1,0,0,0,57,1.0,0,pass,
fact-irrelevant-row,fact_answer,baseline,0,1.0631,37.48,1024.92,1,0,0,0,83,,,pass,1.0
fact-irrelevant-row,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,3.1234,2405.3,639.23,6,3,3,0,120,0.825,1,pass,3.6364
fact-irrelevant-row,fact_answer,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.9169,235.13,679.95,1,0,0,0,120,0.825,1,pass,
fact-metric-threshold-crossed,fact_answer,baseline,0,0.8803,38.7,840.72,1,0,0,0,64,,,pass,1.0
fact-metric-threshold-crossed,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,2.2984,2046.98,184.81,5,2,3,0,63,0.8413,2,pass,2.8636
fact-metric-threshold-crossed,fact_answer,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.8501,248.91,582.98,1,0,0,0,63,0.8413,2,pass,
fact-config-value-changed,fact_answer,baseline,0,0.2333,38.84,193.78,1,0,0,0,14,,,pass,1.0
fact-config-value-changed,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,0.5352,416.95,91.1,2,1,1,0,13,0.6923,1,pass,1.4444
fact-config-value-changed,fact_answer,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.3234,178.26,128.8,1,0,0,0,13,0.6923,1,pass,
