id,category,rule,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct
code-fix-sort-order-bug,code_review,tau:0.0,180,0.0611,7,193,0.9326,0.2941,pass
code-fix-sort-order-bug,code_review,tau:1.5,180,0.0611,7,193,0.9326,0.2941,pass
code-fix-sort-order-bug,code_review,tau:3.0,180,0.0611,7,193,0.9326,0.2941,pass
code-fix-sort-order-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",180,0.0611,7,193,0.9326,0.2941,pass
code-fix-sort-order-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",180,0.0611,7,193,0.9326,0.2941,pass
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.5,180,0.0611,7,193,0.9326,0.2941,pass
code-fix-sort-order-bug,code_review,entropy_scaled:tau=3.0,180,0.0611,7,193,0.9326,0.2941,pass
code-fix-dedupe-condition-bug,code_review,tau:0.0,96,0.2708,10,94,1.0213,0.3147,pass
code-fix-dedupe-condition-bug,code_review,tau:1.5,222,0.1216,8,210,1.0571,0.3147,pass
code-fix-dedupe-condition-bug,code_review,tau:3.0,110,0.6091,7,74,1.4865,0.3147,pass
code-fix-dedupe-condition-bug,code_review,"confidence_gated:tau=1.5,p_cut=0.9",222,0.1216,8,210,1.0571,0.3147,pass
code-fix-dedupe-condition-bug,code_review,"confidence_gated:tau=3.0,p_cut=0.9",110,0.6091,7,74,1.4865,0.3147,pass
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.5,193,0.1865,11,187,1.0321,0.3147,pass
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=3.0,222,0.0721,10,221,1.0045,0.3147,pass
doc-change-decade,doc_summary,tau:0.0,0,0.0,1,0,0.0,0.0625,FAIL
doc-change-decade,doc_summary,tau:1.5,69,0.942,1,13,5.3077,0.0625,pass
doc-change-decade,doc_summary,tau:3.0,69,0.942,1,13,5.3077,0.0625,pass
doc-change-decade,doc_summary,"confidence_gated:tau=1.5,p_cut=0.9",69,0.942,1,13,5.3077,0.0625,pass
