id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,chunk_calls,wasted_tokens,tokens,held_fraction,divergences,correct,analytic_speedup
doc-change-decade,doc_summary,baseline,0,1.0388,36.87,1001.15,1,0,0,0,77,,,pass,1.0
doc-change-decade,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.7825,1651.12,88.29,3,2,1,0,76,0.9474,1,pass,5.4286
doc-change-decade,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.664,212.09,451.1,1,0,0,0,76,0.9474,1,pass,
fact-third-country-overtakes,fact_answer,baseline,0,1.1263,37.11,1088.37,1,0,0,0,86,,,pass,1.0
fact-third-country-overtakes,fact_answer,"entropy_floor:tau=3.0,floor=1.0",0,4.0736,3328.52,617.83,10,4,6,0,109,0.7798,3,pass,2.5349
fact-third-country-overtakes,fact_answer,"redraft:entropy_floor:tau=3.0,floor=1.0",0,1.742,212.24,1514.61,1,0,0,0,109,0.7798,3,pass,
code-rename-var,code_review,baseline,0,0.4945,37.63,456.02,1,0,0,0,35,,,pass,1.0
code-rename-var,code_review,"entropy_floor:tau=3.0,floor=1.0",0,5.1033,3574.86,1394.79,10,3,7,0,107,0.4299,4,pass,1.3718
code-rename-var,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.8322,222.01,609.25,1,0,0,0,101,0.9604,1,pass,
code-add-typehints,code_review,baseline,0,0.2853,36.91,247.65,1,0,0,0,19,,,pass,1.0
code-add-typehints,code_review,"entropy_floor:tau=3.0,floor=1.0",0,0.3856,372.39,0.0,1,1,0,0,18,1.0,0,pass,9.0
code-add-typehints,code_review,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.1685,167.66,0.01,1,0,0,0,18,1.0,0,pass,
doc-table-budget-increase,doc_summary,baseline,0,0.2975,37.62,259.11,1,0,0,0,20,,,pass,1.0
doc-table-budget-increase,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.7448,1507.79,172.81,5,3,2,0,41,0.7561,2,pass,1.8636
doc-table-budget-increase,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.9383,175.61,761.85,1,0,0,0,41,0.7561,2,pass,
doc-status-flip-blocked,doc_summary,baseline,0,0.2769,41.08,235.07,1,0,0,0,17,,,pass,1.0
doc-status-flip-blocked,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.3973,1156.76,175.61,5,3,2,0,16,0.5,2,pass,0.8421
doc-status-flip-blocked,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.8359,206.45,628.56,1,0,0,0,16,0.5,2,pass,
doc-section-deletion-caveat,doc_summary,baseline,0,0.2364,38.41,197.26,1,0,0,0,14,,,pass,1.0
doc-section-deletion-caveat,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,0.5381,511.64,0.0,2,1,1,0,13,0.9231,1,pass,2.1667
doc-section-deletion-caveat,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.3882,187.92,0.01,1,0,0,0,13,0.9231,1,pass,
doc-typo-fix,doc_summary,baseline,0,1.1499,38.13,1111.03,1,0,0,0,86,,,pass,1.0
doc-typo-fix,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,2.0325,1902.09,87.06,3,2,1,0,76,0.9474,1,pass,5.8462
doc-typo-fix,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.6544,209.71,443.73,1,0,0,0,76,0.9474,1,pass,
doc-append-sentence,doc_summary,baseline,0,1.3623,37.17,1324.39,1,0,0,0,100,,,pass,1.0
doc-append-sentence,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,4.8983,2502.12,2264.01,10,2,8,0,104,0.4135,5,pass,1.3506
doc-append-sentence,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,3.0095,219.72,2773.74,1,0,0,0,98,0.4388,5,pass,
doc-reword-middle,doc_summary,baseline,0,1.2198,39.14,1179.79,1,0,0,0,93,,,pass,1.0
doc-reword-middle,doc_summary,"entropy_floor:tau=3.0,floor=1.0",0,1.9814,1851.07,86.92,3,2,1,0,76,0.9474,1,pass,5.4286
doc-reword-middle,doc_summary,"redraft:entropy_floor:tau=3.0,floor=1.0",0,0.6953,207.7,486.79,1,0,0,0,76,0.9474,1,pass,
doc-fix-punctuation,doc_summary,baseline,0,0.786,37.38,747.91,1,0,0,0,58,,,pass,1.0
