id,category,tau,tokens,held_fraction,divergences,forward_passes,speedup,naive_salvage,correct
code-rename-var,code_review,0.0,48,0.2083,2,48,1.0,0.2708,
code-rename-var,code_review,1.5,105,0.9619,1,15,7.0,0.2708,
code-rename-var,code_review,3.0,105,0.9619,1,15,7.0,0.2708,
code-introduce-bug,code_review,0.0,65,0.0308,2,68,0.9559,0.1385,
code-introduce-bug,code_review,1.5,65,0.0308,2,68,0.9559,0.1385,
code-introduce-bug,code_review,3.0,152,0.4539,2,92,1.6522,0.1385,
code-add-guard,code_review,0.0,67,0.1194,4,64,1.0469,0.2388,
code-add-guard,code_review,1.5,69,0.1304,3,65,1.0615,0.2388,
code-add-guard,code_review,3.0,70,0.1571,3,64,1.0938,0.2388,
code-reformat-whitespace,code_review,0.0,61,0.2131,1,58,1.0517,0.2131,
code-reformat-whitespace,code_review,1.5,18,1.0,0,2,9.0,0.2131,
code-reformat-whitespace,code_review,3.0,18,1.0,0,2,9.0,0.2131,
code-add-typehints,code_review,0.0,13,0.0769,2,21,0.619,0.0,
code-add-typehints,code_review,1.5,18,0.7778,1,10,1.8,0.0,
code-add-typehints,code_review,3.0,18,1.0,0,2,9.0,0.0,
code-break-logic,code_review,0.0,64,0.0312,1,67,0.9552,0.0,
code-break-logic,code_review,1.5,71,0.0423,1,73,0.9726,0.0,
code-break-logic,code_review,3.0,71,0.0423,1,73,0.9726,0.0,
doc-typo-fix,doc_summary,0.0,90,0.2556,6,97,0.9278,0.3333,
doc-typo-fix,doc_summary,1.5,76,0.9474,1,13,5.8462,0.3333,
doc-typo-fix,doc_summary,3.0,76,1.0,0,5,15.2,0.3333,
doc-append-sentence,doc_summary,0.0,98,0.4388,5,71,1.3803,0.5,
doc-append-sentence,doc_summary,1.5,98,0.4388,5,71,1.3803,0.5,
doc-append-sentence,doc_summary,3.0,93,0.6452,2,50,1.86,0.5,
doc-reword-middle,doc_summary,0.0,94,0.2979,6,91,1.033,0.383,
doc-reword-middle,doc_summary,1.5,77,0.8182,1,23,3.3478,0.383,
doc-reword-middle,doc_summary,3.0,77,0.8182,1,23,3.3478,0.383,
doc-append-unrelated,doc_summary,0.0,65,0.3538,3,62,1.0484,0.4923,
doc-append-unrelated,doc_summary,1.5,66,0.4697,3,50,1.32,0.4923,
doc-append-unrelated,doc_summary,3.0,57,1.0,0,4,14.25,0.4923,
doc-fix-punctuation,doc_summary,0.0,57,1.0,0,4,14.25,1.0,
doc-fix-punctuation,doc_summary,1.5,57,1.0,0,4,14.25,1.0,
doc-fix-punctuation,doc_summary,3.0,57,1.0,0,4,14.25,1.0,
doc-change-key-fact,doc_summary,0.0,53,0.566,3,39,1.359,0.6038,pass
doc-change-key-fact,doc_summary,1.5,55,0.7091,2,28,1.9643,0.6038,pass
doc-change-key-fact,doc_summary,3.0,55,0.7091,2,28,1.9643,0.6038,pass
fact-irrelevant-row,fact_answer,0.0,55,0.3455,2,46,1.1957,0.4909,pass
fact-irrelevant-row,fact_answer,1.5,120,0.825,1,33,3.6364,0.4909,pass
fact-irrelevant-row,fact_answer,3.0,120,0.825,1,33,3.6364,0.4909,pass
fact-answer-changing-edit,fact_answer,0.0,113,0.115,2,110,1.0273,0.1416,pass
fact-answer-changing-edit,fact_answer,1.5,85,0.3529,9,90,0.9444,0.1416,pass
fact-answer-changing-edit,fact_answer,3.0,109,0.7982,3,41,2.6585,0.1416,pass
fact-relabel-column,fact_answer,0.0,110,0.8636,2,26,4.2308,0.8909,pass
fact-relabel-column,fact_answer,1.5,103,0.9612,1,15,6.8667,0.8909,pass
fact-relabel-column,fact_answer,3.0,102,1.0,0,7,14.5714,0.8909,pass
