id,category,arm,repeat,wall_s,server_prompt_ms,server_predicted_ms,http_calls,scoring_calls,tokens,held_fraction,divergences,correct,analytic_speedup
code-fix-sort-order-bug,code_review,baseline,0,2.5749,17.98,2556.18,1,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,tau:0.0,0,3.8397,2757.74,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,tau:3.0,0,3.8276,2740.6,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.5,0,3.8416,2749.85,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,baseline,1,2.6474,17.22,2629.56,1,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,tau:0.0,1,4.1297,2952.36,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,tau:3.0,1,3.9348,2818.15,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.5,1,3.8722,2780.52,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,baseline,2,2.5903,17.86,2571.64,1,0,176,,,pass,1.0
code-fix-sort-order-bug,code_review,tau:0.0,2,3.8707,2777.28,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,tau:3.0,2,3.8716,2779.95,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-sort-order-bug,code_review,entropy_scaled:tau=1.5,2,3.9273,2821.94,0.16,157,2,163,0.0429,2,pass,0.9819
code-fix-dedupe-condition-bug,code_review,baseline,0,3.3295,17.47,3311.31,1,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,tau:0.0,0,3.5245,2532.84,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,tau:3.0,0,3.3636,2417.66,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.5,0,3.2861,2360.17,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,baseline,1,3.132,17.34,3114.03,1,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,tau:0.0,1,3.2776,2356.1,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,tau:3.0,1,3.2736,2350.2,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.5,1,3.2907,2364.63,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,baseline,2,3.1416,17.94,3123.1,1,0,215,,,pass,1.0
code-fix-dedupe-condition-bug,code_review,tau:0.0,2,3.3377,2407.43,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,tau:3.0,2,3.6108,2613.51,0.13,133,1,134,0.0149,1,pass,0.9781
code-fix-dedupe-condition-bug,code_review,entropy_scaled:tau=1.5,2,3.5093,2542.3,0.13,133,1,134,0.0149,1,pass,0.9781
doc-change-decade,doc_summary,baseline,0,1.0908,17.46,1072.56,1,0,73,,,pass,1.0
doc-change-decade,doc_summary,tau:0.0,0,1.2685,1195.53,0.01,9,3,72,0.8889,2,pass,3.4286
doc-change-decade,doc_summary,tau:3.0,0,0.8205,779.78,0.01,5,2,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,entropy_scaled:tau=1.5,0,0.8331,792.84,0.01,5,2,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,baseline,1,1.1189,20.52,1097.77,1,0,73,,,pass,1.0
doc-change-decade,doc_summary,tau:0.0,1,1.2749,1203.69,0.01,9,3,72,0.8889,2,pass,3.4286
doc-change-decade,doc_summary,tau:3.0,1,0.8221,781.71,0.01,5,2,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,entropy_scaled:tau=1.5,1,0.8214,781.08,0.01,5,2,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,baseline,2,1.0974,18.31,1078.47,1,0,73,,,pass,1.0
doc-change-decade,doc_summary,tau:0.0,2,1.2664,1194.77,0.01,9,3,72,0.8889,2,pass,3.4286
doc-change-decade,doc_summary,tau:3.0,2,0.8139,772.68,0.01,5,2,72,0.9444,1,pass,5.5385
doc-change-decade,doc_summary,entropy_scaled:tau=1.5,2,0.8273,783.93,0.01,5,2,72,0.9444,1,pass,5.5385
doc-change-shrink-fraction,doc_summary,baseline,0,1.0836,18.07,1064.85,1,0,72,,,pass,1.0
doc-change-shrink-fraction,doc_summary,tau:0.0,0,1.9662,1758.24,0.03,28,5,70,0.6143,5,pass,1.4583
doc-change-shrink-fraction,doc_summary,tau:3.0,0,0.7606,720.1,0.01,5,2,81,0.9506,1,pass,6.2308
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=1.5,0,0.7828,734.63,0.01,6,2,81,0.9383,1,pass,5.7857
doc-change-shrink-fraction,doc_summary,baseline,1,1.0935,18.27,1074.62,1,0,72,,,pass,1.0
doc-change-shrink-fraction,doc_summary,tau:0.0,1,1.9619,1755.08,0.03,28,5,70,0.6143,5,pass,1.4583
doc-change-shrink-fraction,doc_summary,tau:3.0,1,0.7538,713.28,0.01,5,2,81,0.9506,1,pass,6.2308
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=1.5,1,0.8307,779.93,0.01,6,2,81,0.9383,1,pass,5.7857
doc-change-shrink-fraction,doc_summary,baseline,2,1.1595,19.14,1139.75,1,0,72,,,pass,1.0
doc-change-shrink-fraction,doc_summary,tau:0.0,2,2.0812,1859.78,0.03,28,5,70,0.6143,5,pass,1.4583
doc-change-shrink-fraction,doc_summary,tau:3.0,2,0.8051,760.78,0.01,5,2,81,0.9506,1,pass,6.2308
doc-change-shrink-fraction,doc_summary,entropy_scaled:tau=1.5,2,0.8303,780.13,0.01,6,2,81,0.9383,1,pass,5.7857
fact-third-country-overtakes,fact_answer,baseline,0,0.4816,18.3,462.51,1,0,31,,,pass,1.0
fact-third-country-overtakes,fact_answer,tau:0.0,0,0.7296,618.78,0.02,15,3,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,tau:3.0,0,0.7037,596.21,0.02,15,3,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=1.5,0,0.7033,595.05,0.02,15,3,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,baseline,1,0.462,17.04,444.31,1,0,31,,,pass,1.0
fact-third-country-overtakes,fact_answer,tau:0.0,1,0.7023,592.96,0.02,15,3,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,tau:3.0,1,0.6995,592.15,0.02,15,3,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,entropy_scaled:tau=1.5,1,0.7025,595.84,0.02,15,3,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,baseline,2,0.458,17.24,440.16,1,0,31,,,pass,1.0
fact-third-country-overtakes,fact_answer,tau:0.0,2,0.7013,593.96,0.02,15,3,30,0.5333,3,pass,1.0345
fact-third-country-overtakes,fact_answer,tau:3.0,2,0.701,594.57,0.02,15,3,30,0.5333,3,pass,1.0345
